iteracion,T,energia
90000,4.980000,110884.000000
100000,4.980000,110824.000000
110000,4.980000,110872.000000
120000,4.980000,111120.000000
130000,4.980000,110904.000000
140000,4.980000,110988.000000
150000,4.980000,110848.000000
160000,4.980000,110744.000000
170000,4.980000,111072.000000
180000,4.980000,110688.000000
190000,4.980000,110692.000000
200000,4.980000,110692.000000
210000,4.980000,110996.000000
220000,4.980000,110648.000000
230000,4.980000,110716.000000
240000,4.980000,110468.000000
250000,4.980000,110684.000000
260000,4.980000,110688.000000
270000,4.980000,110464.000000
280000,4.980000,110748.000000
290000,4.980000,110524.000000
300000,4.980000,110504.000000
310000,4.980000,110496.000000
320000,4.980000,110488.000000
330000,4.980000,110528.000000
340000,4.980000,110428.000000
350000,4.980000,110420.000000
360000,4.980000,110404.000000
370000,4.980000,110540.000000
380000,4.980000,110404.000000
390000,4.980000,110384.000000
400000,4.980000,110496.000000
410000,4.980000,110408.000000
420000,4.980000,110364.000000
430000,4.980000,110320.000000
440000,4.980000,110332.000000
450000,4.980000,110212.000000
460000,4.980000,110288.000000
470000,4.980000,110380.000000
480000,4.980000,110296.000000
490000,4.980000,110100.000000
500000,4.980000,110112.000000
510000,4.980000,110228.000000
520000,4.980000,110080.000000
530000,4.980000,110080.000000
540000,4.980000,109868.000000
550000,4.980000,110136.000000
560000,4.980000,110276.000000
570000,4.980000,109936.000000
580000,4.980000,110020.000000
590000,4.980000,109972.000000
600000,4.980000,110084.000000
610000,4.980000,109936.000000
620000,4.980000,110044.000000
630000,4.980000,109752.000000
640000,4.980000,110084.000000
650000,4.980000,109856.000000
660000,4.980000,109844.000000
670000,4.980000,109924.000000
680000,4.980000,109828.000000
690000,4.980000,109940.000000
700000,4.980000,109644.000000
710000,4.980000,109700.000000
720000,4.980000,109700.000000
730000,4.980000,109660.000000
740000,4.980000,109608.000000
750000,4.980000,109612.000000
760000,4.980000,109616.000000
770000,4.980000,109520.000000
780000,4.980000,109572.000000
790000,4.980000,109464.000000
800000,4.980000,109412.000000
810000,4.980000,109392.000000
820000,4.980000,109312.000000
830000,4.980000,109588.000000
840000,4.980000,109508.000000
850000,4.980000,109412.000000
860000,4.980000,109364.000000
870000,4.980000,109280.000000
880000,4.980000,109296.000000
890000,4.980000,109244.000000
900000,4.980000,109420.000000
910000,4.980000,109252.000000
920000,4.980000,109236.000000
930000,4.980000,109336.000000
940000,4.980000,109220.000000
950000,4.980000,109236.000000
960000,4.980000,109288.000000
970000,4.980000,109176.000000
980000,4.980000,109344.000000
990000,4.980000,108856.000000
0,4.969999,109100.000000
10000,4.969999,108968.000000
