iteracion,T,magnetizacion
200000,4.969999,-0.016113
210000,4.969999,-0.006836
220000,4.969999,0.007812
230000,4.969999,-0.009277
240000,4.969999,0.006348
250000,4.969999,0.003906
260000,4.969999,-0.035645
270000,4.969999,-0.007812
280000,4.969999,0.021973
290000,4.969999,0.010742
300000,4.969999,-0.004395
310000,4.969999,-0.017578
320000,4.969999,0.039551
330000,4.969999,0.004883
340000,4.969999,0.033203
350000,4.969999,-0.019043
360000,4.969999,0.020996
370000,4.969999,-0.010742
380000,4.969999,-0.020996
390000,4.969999,0.015137
400000,4.969999,-0.012695
410000,4.969999,0.026855
420000,4.969999,0.046875
430000,4.969999,0.027344
440000,4.969999,-0.009766
450000,4.969999,-0.037109
460000,4.969999,-0.002930
470000,4.969999,0.009277
480000,4.969999,-0.001465
490000,4.969999,-0.008789
500000,4.969999,-0.041992
510000,4.969999,0.020996
520000,4.969999,0.032715
530000,4.969999,0.025391
540000,4.969999,0.048828
550000,4.969999,-0.018066
560000,4.969999,0.015137
570000,4.969999,0.006836
580000,4.969999,0.010254
590000,4.969999,0.007812
600000,4.969999,-0.027832
610000,4.969999,-0.014160
620000,4.969999,-0.014160
630000,4.969999,-0.025879
640000,4.969999,-0.011719
650000,4.969999,-0.012695
660000,4.969999,-0.040527
670000,4.969999,-0.023926
680000,4.969999,0.021973
690000,4.969999,0.007324
700000,4.969999,0.001465
710000,4.969999,0.007812
720000,4.969999,0.041992
730000,4.969999,0.051758
740000,4.969999,0.015137
750000,4.969999,-0.015137
760000,4.969999,-0.012695
770000,4.969999,0.010742
780000,4.969999,-0.005859
790000,4.969999,0.029785
800000,4.969999,-0.003906
810000,4.969999,-0.001953
820000,4.969999,0.018066
830000,4.969999,0.039551
840000,4.969999,0.011230
850000,4.969999,-0.021484
860000,4.969999,-0.014160
870000,4.969999,0.028809
880000,4.969999,-0.001465
890000,4.969999,0.016113
900000,4.969999,0.004883
910000,4.969999,0.020996
920000,4.969999,0.026855
930000,4.969999,0.022461
940000,4.969999,-0.048828
950000,4.969999,-0.037598
960000,4.969999,0.022949
970000,4.969999,0.022949
980000,4.969999,-0.004395
990000,4.969999,-0.003906
0,4.959999,0.009277
10000,4.959999,0.009766
20000,4.959999,0.013184
30000,4.959999,0.018555
40000,4.959999,0.010742
50000,4.959999,-0.074707
60000,4.959999,-0.007324
70000,4.959999,0.007812
80000,4.959999,-0.029785
90000,4.959999,-0.035645
100000,4.959999,-0.002930
110000,4.959999,0.013184
120000,4.959999,-0.006348
130000,4.959999,0.037109
140000,4.959999,0.053711
150000,4.959999,0.025391
160000,4.959999,-0.018066
170000,4.959999,-0.041504
180000,4.959999,-0.014648
190000,4.959999,-0.001465
200000,4.959999,0.029297
210000,4.959999,0.005859
220000,4.959999,-0.025879
230000,4.959999,0.009766
240000,4.959999,0.019043
250000,4.959999,0.002930
260000,4.959999,0.003418
270000,4.959999,0.012695
280000,4.959999,0.016602
290000,4.959999,0.041992
300000,4.959999,0.012695
310000,4.959999,0.018066
320000,4.959999,0.022461
330000,4.959999,0.044922
340000,4.959999,0.028809
350000,4.959999,0.039551
360000,4.959999,0.018555
370000,4.959999,-0.015137
380000,4.959999,0.029297
390000,4.959999,-0.005371
400000,4.959999,0.007812
410000,4.959999,0.032227
420000,4.959999,-0.017090
430000,4.959999,0.036621
440000,4.959999,0.000488
450000,4.959999,0.025391
460000,4.959999,0.035156
470000,4.959999,0.039062
480000,4.959999,0.014160
490000,4.959999,-0.013184
500000,4.959999,0.009277
510000,4.959999,0.014160
520000,4.959999,-0.007324
530000,4.959999,0.027832
540000,4.959999,0.025391
550000,4.959999,0.040039
560000,4.959999,0.000977
570000,4.959999,-0.040039
580000,4.959999,0.025391
590000,4.959999,-0.027344
600000,4.959999,-0.028320
610000,4.959999,-0.016602
620000,4.959999,0.033203
630000,4.959999,0.036133
640000,4.959999,0.030762
650000,4.959999,-0.026367
660000,4.959999,-0.000488
670000,4.959999,-0.024902
680000,4.959999,-0.023926
690000,4.959999,0.007324
700000,4.959999,0.015137
710000,4.959999,0.011230
720000,4.959999,-0.014648
730000,4.959999,0.028320
740000,4.959999,0.016113
750000,4.959999,0.043945
760000,4.959999,0.005371
770000,4.959999,-0.001953
780000,4.959999,0.036621
790000,4.959999,0.045410
800000,4.959999,-0.000488
810000,4.959999,0.023438
820000,4.959999,-0.004883
830000,4.959999,0.048828
840000,4.959999,0.035645
850000,4.959999,0.041504
860000,4.959999,0.052734
870000,4.959999,0.051270
880000,4.959999,0.051758
890000,4.959999,0.024902
900000,4.959999,-0.012207
910000,4.959999,0.007812
920000,4.959999,-0.013184
930000,4.959999,-0.043945
940000,4.959999,-0.009277
950000,4.959999,-0.009277
960000,4.959999,0.073730
970000,4.959999,0.046387
980000,4.959999,0.029785
990000,4.959999,0.029297
0,4.949999,0.024902
10000,4.949999,0.063965
20000,4.949999,0.026367
30000,4.949999,-0.002930
40000,4.949999,-0.011230
50000,4.949999,0.024414
